Name,Type,Count,Fruity,Sour,Chocolate,Nuts,Caramel,Nougat,Texture,Box / Wrapper,Special Feature
M&M,Classic,17,No,No,Milk,No,No,No,Hard,Pouch,
M&M,Peanut,5,No,No,Milk,Peanut,No,No,Hard,Pouch,
M&M,Caramel,2,No,No,Milk,No,Yes,No,Hard,Pouch,
M&M,Peanut Butter,1,No,No,Milk,Peanut,No,No,Hard,Pouch,
Skittles,Shriekers,5,Yes,Yes,No,No,No,No,Hard,Pouch,
Skittles,Classic,2,Yes,No,No,No,No,No,Hard,Pouch,
Skittles,Wild Berry,2,Yes,No,No,No,No,No,Hard,Pouch,
Hubba Bubba,,2,Yes,No,No,No,No,No,Chewy,Box,
Twizzlers,Twists,6,Yes,No,No,No,No,No,Chewy,Wrapper,
Twizzlers,Pull N Peel,1,Yes,No,No,No,No,No,Chewy,Wrapper,
Sour Punch,,1,Yes,Yes,No,No,No,No,Chewy,Wrapper,
Sour Patch Kids,,4,Yes,Yes,No,No,No,No,Chewy,Pouch,
Sour Brite Crawlers,,2,Yes,Yes,No,No,No,No,Chewy,Pouch,
Whoppers,,9,No,No,Milk,No,No,No,Crunchy,Wrapper,
Milky Way,Classic,21,No,No,Milk,No,Yes,Yes,Soft,Wrapper,
Milky Way,Midnight,3,No,No,Dark,No,Yes,Yes,Soft,Wrapper,
3 Musketeers,,24,No,No,Milk,No,No,Yes,Soft,Wrapper,
Snickers,,21,No,No,Milk,Peanut,Yes,Yes,Soft,Wrapper,
Hersheys,Cookies and Cr�me,13,No,No,White,No,No,No,Crunchy,Wrapper,
Kit Kat,Bones,2,No,No,White,No,No,No,Crunchy,Wrapper,
Kit Kat,Witches Brew,7,No,No,White,No,No,No,Crunchy,Wrapper,Green
Kit Kat,Classic,8,No,No,Milk,No,No,No,Crunchy,Wrapper,
Kit Kat,Classic Mini,9,No,No,Milk,No,No,No,Crunchy,Wrapper,
Baby Ruth,,6,No,No,Milk,Peanut,Yes,Yes,Chewy,Wrapper,
Almond Joy,,2,No,No,Milk,Almond,No,No,Soft,Wrapper,Coconut
Mounds,,3,No,No,Dark,No,No,No,Soft,Wrapper,Coconut
Reese's,Classic Mini,12,No,No,Milk,Peanut,No,No,Soft,Wrapper,
Reese's,Classic,3,No,No,Milk,Peanut,No,No,Soft,Wrapper,
Reese's,Pumpkin,9,No,No,Milk,Peanut,No,No,Soft,Wrapper,
Reese's,Bats,12,No,No,Milk,Peanut,No,No,Soft,Wrapper,
Butterfinger,,3,No,No,Milk,Peanut,No,No,Crunchy,Wrapper,
Milk Duds,,4,No,No,Milk,No,Yes,No,Chewy,Box,
Crunch,,10,No,No,Milk,No,No,No,Crunchy,Wrapper,
Hersheys,Milk Chocolate,10,No,No,Milk,No,No,No,,Wrapper,
Twix,,12,No,No,Milk,No,Yes,No,Crunchy,Wrapper,
Rolo,,5,No,No,Milk,No,Yes,No,Soft,Wrapper,
Blow Pop,Strawberry,2,Yes,No,No,No,No,No,Hard,Sucker,Bubble Gum
Blow Pop,Sour Apple,3,Yes,Yes,No,No,No,No,Hard,Sucker,Bubble Gum
Blow Pop,Cherry,3,Yes,No,No,No,No,No,Hard,Sucker,Bubble Gum
Blow Pop,Grape,3,Yes,No,No,No,No,No,Hard,Sucker,Bubble Gum
Blow Pop,Watermelon,1,Yes,No,No,No,No,No,Hard,Sucker,Bubble Gum
Tootsie Roll Pop,Raspberry,3,Yes,No,No,No,No,No,Hard,Sucker,Tootsie Roll
